Date : 2025-10-07 09:23:44
Directory : /Users/spursh/Documents/code/hours-frontend-next
Total : 153 files,  11628 codes, -47 comments, 889 blanks, all 12470 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          2 |      5,049 |          0 |          0 |      5,049 |
| YAML           |          1 |      2,625 |          0 |        465 |      3,090 |
| TypeScript JSX |         91 |      2,164 |        -44 |        231 |      2,351 |
| TypeScript     |         57 |      1,693 |         -3 |        180 |      1,870 |
| CSS            |          1 |         96 |          0 |         12 |        108 |
| JavaScript     |          1 |          1 |          0 |          1 |          2 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |        153 |     11,628 |        -47 |        889 |     12,470 |
| . (Files)                                                                                                     |          7 |      7,732 |          8 |        470 |      8,210 |
| app                                                                                                           |         73 |      1,796 |        -46 |        168 |      1,918 |
| app (Files)                                                                                                   |          3 |        114 |          0 |         12 |        126 |
| app/admin                                                                                                     |         34 |      1,541 |         -9 |        120 |      1,652 |
| app/admin (Files)                                                                                             |          1 |       -846 |         -9 |        -35 |       -890 |
| app/admin/components                                                                                          |         33 |      2,387 |          0 |        155 |      2,542 |
| app/forgot-password                                                                                           |          1 |        193 |          4 |         20 |        217 |
| app/help                                                                                                      |          1 |         22 |          0 |          0 |         22 |
| app/login                                                                                                     |          3 |       -162 |        -11 |        -17 |       -190 |
| app/login (Files)                                                                                             |          1 |       -337 |        -11 |        -35 |       -383 |
| app/login/components                                                                                          |          2 |        175 |          0 |         18 |        193 |
| app/register                                                                                                  |          8 |       -140 |         -8 |         -8 |       -156 |
| app/register (Files)                                                                                          |          1 |       -436 |         -8 |        -41 |       -485 |
| app/register/components                                                                                       |          7 |        296 |          0 |         33 |        329 |
| app/reset-password                                                                                            |          1 |        274 |          8 |         32 |        314 |
| app/student                                                                                                   |          8 |        -44 |        -12 |          2 |        -54 |
| app/student/dashboard                                                                                         |          7 |         -2 |         -8 |          4 |         -6 |
| app/student/dashboard (Files)                                                                                 |          1 |       -312 |         -8 |        -23 |       -343 |
| app/student/dashboard/components                                                                              |          6 |        310 |          0 |         27 |        337 |
| app/student/settings                                                                                          |          1 |        -42 |         -4 |         -2 |        -48 |
| app/supervisor                                                                                                |         13 |        -79 |        -18 |         -2 |        -99 |
| app/supervisor/dashboard                                                                                      |         13 |        -79 |        -18 |         -2 |        -99 |
| app/supervisor/dashboard (Files)                                                                              |          1 |       -759 |        -18 |        -53 |       -830 |
| app/supervisor/dashboard/components                                                                           |         12 |        680 |          0 |         51 |        731 |
| app/unauthorized                                                                                              |          1 |         77 |          0 |          9 |         86 |
| components                                                                                                    |         22 |        503 |          0 |         79 |        582 |
| components/auth                                                                                               |          6 |        108 |          0 |         23 |        131 |
| components/data                                                                                               |          1 |         52 |          0 |          5 |         57 |
| components/feedback                                                                                           |          5 |        154 |          0 |         23 |        177 |
| components/forms                                                                                              |          5 |        171 |          0 |         24 |        195 |
| components/layout                                                                                             |          2 |          3 |          0 |          0 |          3 |
| components/providers                                                                                          |          1 |         16 |          0 |          4 |         20 |
| components/ui                                                                                                 |          2 |         -1 |          0 |          0 |         -1 |
| contexts                                                                                                      |          1 |          7 |          2 |          0 |          9 |
| hooks                                                                                                         |         33 |      1,078 |          0 |         85 |      1,163 |
| hooks (Files)                                                                                                 |          7 |        -65 |          0 |          3 |        -62 |
| hooks/admin                                                                                                   |         19 |        880 |          0 |         60 |        940 |
| hooks/mutations                                                                                               |          2 |         93 |          0 |         13 |        106 |
| hooks/supervisor                                                                                              |          5 |        170 |          0 |          9 |        179 |
| lib                                                                                                           |         16 |        511 |        -11 |         86 |        586 |
| lib (Files)                                                                                                   |          1 |         75 |        -11 |          3 |         67 |
| lib/api                                                                                                       |          4 |        183 |          0 |         38 |        221 |
| lib/api (Files)                                                                                               |          1 |         89 |          0 |         21 |        110 |
| lib/api/schemas                                                                                               |          3 |         94 |          0 |         17 |        111 |
| lib/query                                                                                                     |          2 |         34 |          0 |          3 |         37 |
| lib/utils                                                                                                     |          9 |        219 |          0 |         42 |        261 |
| test                                                                                                          |          1 |          1 |          0 |          1 |          2 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                      | language       | code       | comment    | blank      | total      |
